userId,movieId,rating,timestamp
75,300000,4.9,1600000000
17,300000,5.0,1600000000
46,300000,5.0,1600000000
93,300000,4.9,1600000000
61,300000,4.7,1600000000
62,300000,4.6,1600000000
55,300000,4.8,1600000000
97,300000,4.9,1600000000
8,300000,5.0,1600000000
2,300000,4.6,1600000000
10,300000,4.6,1600000000
80,300000,4.7,1600000000
78,300000,4.8,1600000000
84,300000,4.6,1600000000
12,300000,4.9,1600000000
38,300000,4.8,1600000000
63,300000,4.5,1600000000
69,300000,4.9,1600000000
50,300000,4.9,1600000000
66,300000,4.9,1600000000
52,300000,5.0,1600000000
30,300000,4.6,1600000000
74,300000,4.8,1600000000
49,300000,4.6,1600000000
53,300000,4.7,1600000000
56,300000,4.7,1600000000
31,300000,4.8,1600000000
33,300000,4.7,1600000000
90,300000,4.7,1600000000
28,300000,4.5,1600000000
32,300000,4.6,1600000000
82,300000,4.7,1600000000
57,300000,4.9,1600000000
91,300000,4.7,1600000000
15,300000,4.6,1600000000
89,300000,4.9,1600000000
43,300000,4.7,1600000000
71,300000,4.9,1600000000
18,300000,4.9,1600000000
64,300000,4.9,1600000000
1,300000,4.6,1600000000
16,300000,4.6,1600000000
72,300000,4.9,1600000000
73,300000,5.0,1600000000
67,300000,4.8,1600000000
34,300000,4.6,1600000000
6,300000,4.7,1600000000
22,300000,4.8,1600000000
45,300000,4.8,1600000000
51,300000,4.7,1600000000
35,300000,4.9,1600000000
76,300000,4.6,1600000000
41,300000,4.8,1600000000
13,300000,4.9,1600000000
87,300000,4.6,1600000000
92,300000,4.9,1600000000
58,300000,4.8,1600000000
9,300000,4.6,1600000000
95,300000,4.7,1600000000
5,300000,4.8,1600000000
88,300000,5.0,1600000000
59,300000,4.6,1600000000
70,300000,4.5,1600000000
20,300000,4.7,1600000000
27,300000,4.7,1600000000
7,300000,4.7,1600000000
14,300000,4.8,1600000000
4,300000,4.9,1600000000
60,300000,4.8,1600000000
48,300000,4.6,1600000000
85,300000,4.6,1600000000
81,300000,4.6,1600000000
65,300000,4.7,1600000000
19,300000,5.0,1600000000
36,300000,5.0,1600000000
99,300000,4.8,1600000000
37,300000,4.9,1600000000
42,300000,4.6,1600000000
44,300000,4.7,1600000000
29,300000,4.7,1600000000
11,300000,4.6,1600000000
96,300000,4.8,1600000000
24,300000,4.9,1600000000
94,300000,5.0,1600000000
67,300001,3.5,1600000000
62,300001,4.4,1600000000
93,300001,4.2,1600000000
76,300001,3.8,1600000000
72,300001,4.1,1600000000
45,300001,3.7,1600000000
75,300001,3.9,1600000000
88,300001,3.9,1600000000
87,300001,4.0,1600000000
33,300001,4.1,1600000000
95,300001,4.0,1600000000
2,300001,3.7,1600000000
58,300001,3.9,1600000000
92,300001,4.8,1600000000
90,300001,3.8,1600000000
61,300001,4.6,1600000000
20,300001,4.8,1600000000
60,300001,4.2,1600000000
37,300001,5.0,1600000000
55,300001,4.1,1600000000
53,300001,4.8,1600000000
12,300001,3.6,1600000000
24,300001,3.6,1600000000
8,300001,4.8,1600000000
85,300001,4.8,1600000000
49,300001,4.3,1600000000
78,300001,4.0,1600000000
47,300001,4.0,1600000000
5,300001,4.3,1600000000
68,300001,3.7,1600000000
80,300001,4.3,1600000000
79,300001,4.4,1600000000
9,300001,4.2,1600000000
15,300001,4.4,1600000000
84,300001,4.7,1600000000
56,300001,4.3,1600000000
38,300001,4.1,1600000000
44,300002,3.8,1600000000
39,300002,3.8,1600000000
76,300002,4.3,1600000000
87,300002,4.6,1600000000
47,300002,4.1,1600000000
62,300002,4.3,1600000000
